scale,processing_time[ms],matching_time[ms],total_time[ms],num_keypoints_reference,num_keypoints_test,num_matches,matches_percentage,correct_matches_percentage(precision),num_correct_matches,repeatability
1.0,628.3778429031372,195.69495519002277,824.0727980931599,639,639,638,99.8435054773083,100.0,638,100.0
1.2,626.8357833226522,216.4215882619222,843.2573715845745,639,765,299,46.79186228482003,89.96655518394648,269,95.61815336463224
1.4,560.1178487141926,221.8203624089559,781.9382111231486,639,819,239,37.40219092331768,76.15062761506276,182,92.01877934272301
1.5999999999999999,568.9488728841145,228.55846881866455,797.5073417027791,639,856,217,33.95931142410016,58.525345622119815,127,87.63693270735524
1.7999999999999998,557.4212948481241,236.74354553222656,794.1648403803507,639,885,217,33.95931142410016,43.31797235023041,94,77.15179968701096
1.9999999999999998,556.4129908879598,220.69183985392252,777.1048307418823,639,819,203,31.768388106416275,37.4384236453202,76,57.58998435054773
2.1999999999999997,552.9443581899008,211.30635738372803,764.2507155736288,639,790,199,31.142410015649453,27.63819095477387,55,56.33802816901409
2.3999999999999995,572.7810064951578,201.34720007578534,774.1282065709431,639,689,177,27.699530516431924,25.98870056497175,46,47.73082942097027
2.5999999999999996,555.991514523824,166.1832332611084,722.1747477849324,639,619,169,27.30210016155089,20.118343195266274,34,46.322378716744915
2.8,554.731027285258,141.70858065287274,696.4396079381308,639,509,147,28.880157170923383,17.006802721088434,25,36.93270735524257
2.9999999999999996,565.6798203786215,121.20117346445718,686.8809938430786,639,415,133,32.04819277108434,13.533834586466165,18,28.482003129890455
3.1999999999999993,527.8842290242512,106.54491583506267,634.4291448593139,639,411,139,33.81995133819951,9.352517985611511,13,26.134585289514867
3.3999999999999995,571.5251684188843,118.10762882232666,689.6327972412109,639,403,127,31.5136476426799,7.086614173228346,9,24.2566510172144
3.5999999999999996,616.0796562830607,111.33747100830078,727.4171272913615,639,364,133,36.53846153846153,6.7669172932330826,9,22.065727699530516
3.7999999999999994,521.6060558954874,92.9622491200765,614.568305015564,639,356,127,35.674157303370784,3.937007874015748,5,20.970266040688575
3.999999999999999,529.0380318959554,85.98372141520181,615.0217533111572,639,321,122,38.006230529595015,4.918032786885246,6,18.9358372456964
