scale,processing_time[ms],matching_time[ms],total_time[ms],num_keypoints_reference,num_keypoints_test,num_matches,matches_percentage,correct_matches_percentage(precision),num_correct_matches,repeatability
1.0,763.7418349583943,244.60477828979492,1008.3466132481892,705,705,702,99.57446808510639,100.0,702,100.0
1.2,635.8052730560303,233.17566712697345,868.9809401830037,705,765,341,48.36879432624113,90.32258064516128,308,93.19148936170212
1.4,666.3317124048868,267.78712272644043,934.1188351313273,705,819,273,38.72340425531915,78.3882783882784,214,92.90780141843972
1.5999999999999999,632.870602607727,248.74657789866131,881.6171805063884,705,819,221,31.347517730496456,60.633484162895925,134,85.53191489361703
1.7999999999999998,642.5777753194172,279.94809945424396,922.5258747736611,705,857,229,32.4822695035461,42.79475982532751,98,82.6950354609929
1.9999999999999998,636.1018737157186,253.2524029413859,889.3542766571045,705,813,224,31.773049645390074,41.517857142857146,93,67.5177304964539
2.1999999999999997,639.9139642715454,248.80757331848145,888.7215375900269,705,776,202,28.652482269503547,27.22772277227723,55,57.58865248226951
2.3999999999999995,645.5172538757324,226.88129742940265,872.398551305135,705,705,193,27.375886524822697,23.316062176165804,45,52.76595744680851
2.5999999999999996,652.2232055664062,206.97380701700845,859.1970125834147,705,617,180,29.17341977309562,17.22222222222222,31,47.09219858156028
2.8,630.0754308700562,164.87914721171063,794.9545780817668,705,513,157,30.60428849902534,15.286624203821656,24,38.72340425531915
2.9999999999999996,609.1782887776692,144.7697083155314,753.9479970932006,705,474,152,32.06751054852321,10.526315789473683,16,33.191489361702125
3.1999999999999993,708.069626490275,146.2960640589396,854.3656905492146,705,391,135,34.52685421994885,7.4074074074074066,10,25.81560283687943
3.3999999999999995,613.8673226038615,123.22750886281332,737.0948314666748,705,400,127,31.75,6.299212598425196,8,26.80851063829787
3.5999999999999996,661.5735212961833,121.89342180887857,783.4669431050619,705,361,138,38.227146814404435,5.072463768115942,7,24.822695035460992
3.7999999999999994,694.1440979639689,115.63986937204997,809.7839673360188,705,311,123,39.549839228295816,3.2520325203252036,4,22.411347517730494
3.999999999999999,611.2677971522014,88.94001642862956,700.2078135808309,705,284,126,44.36619718309859,3.968253968253968,5,20.28368794326241
