scale,processing_time[ms],matching_time[ms],total_time[ms],num_keypoints_reference,num_keypoints_test,num_matches,matches_percentage,correct_matches_percentage(precision),num_correct_matches,repeatability
1.0,370.15295028686523,200.42681694030762,570.5797672271729,705,705,702,99.57446808510639,100.0,702,99.8581560283688
1.2,509.75584983825684,388.61608505249023,898.3719348907471,705,819,379,53.758865248226954,87.86279683377309,333,100.85106382978724
1.4,358.40892791748047,210.0350856781006,568.444013595581,705,819,306,43.40425531914894,81.69934640522875,250,91.06382978723404
1.5999999999999999,362.9641532897949,221.2667465209961,584.230899810791,705,871,298,42.269503546099294,71.14093959731544,212,89.9290780141844
1.7999999999999998,348.01173210144043,223.2966423034668,571.3083744049072,705,798,258,36.59574468085106,60.07751937984496,155,74.7517730496454
1.9999999999999998,379.8487186431885,168.18904876708984,548.0377674102783,705,654,223,34.09785932721712,52.91479820627802,118,61.702127659574465
2.1999999999999997,345.55649757385254,159.73687171936035,505.2933692932129,705,606,200,33.003300330033,43.0,86,54.751773049645394
2.3999999999999995,345.72601318359375,135.3909969329834,481.11701011657715,705,528,188,35.60606060606061,36.17021276595745,68,47.5177304964539
2.5999999999999996,358.63494873046875,121.72746658325195,480.3624153137207,705,474,172,36.28691983122363,29.651162790697676,51,40.709219858156025
2.8,497.04909324645996,170.8223819732666,667.8714752197266,705,433,152,35.10392609699769,20.394736842105264,31,35.46099290780142
2.9999999999999996,363.07430267333984,95.04461288452148,458.1189155578613,705,372,139,37.365591397849464,15.107913669064748,21,29.361702127659573
3.1999999999999993,341.4947986602783,82.81946182250977,424.3142604827881,705,320,131,40.9375,12.977099236641221,17,25.106382978723403
3.3999999999999995,341.3050174713135,87.96381950378418,429.26883697509766,705,322,131,40.683229813664596,9.923664122137405,13,25.81560283687943
3.5999999999999996,338.8998508453369,74.58186149597168,413.4817123413086,705,283,128,45.22968197879859,7.03125,9,23.404255319148938
3.7999999999999994,410.1138114929199,115.30208587646484,525.4158973693848,705,277,128,46.20938628158845,2.34375,3,23.829787234042556
3.999999999999999,476.24921798706055,109.56978797912598,585.8190059661865,705,284,132,46.478873239436616,5.303030303030303,7,23.26241134751773
