scale,processing_time[ms],matching_time[ms],total_time[ms],num_keypoints_reference,num_keypoints_test,num_matches,matches_percentage,correct_matches_percentage(precision),num_correct_matches,repeatability
1.0,221.94385528564453,283.13183784484863,505.07569313049316,867,867,864,99.65397923875432,100.0,864,99.76931949250289
1.2,297.2700595855713,438.69757652282715,735.9676361083984,867,839,416,49.582836710369484,86.77884615384616,361,78.77739331026528
1.4,214.13850784301758,250.85067749023438,464.98918533325195,867,747,327,43.77510040160642,70.03058103975535,229,62.1683967704729
1.5999999999999999,209.5956802368164,199.1562843322754,408.7519645690918,867,612,265,43.30065359477124,62.64150943396226,166,53.63321799307958
1.7999999999999998,208.60528945922852,149.62387084960938,358.2291603088379,867,455,213,46.81318681318681,55.39906103286385,118,39.10034602076124
1.9999999999999998,296.720027923584,208.18591117858887,504.90593910217285,867,437,202,46.224256292906176,49.00990099009901,99,36.332179930795846
2.1999999999999997,201.05242729187012,129.11057472229004,330.16300201416016,867,400,176,44.0,39.20454545454545,69,32.75663206459054
2.3999999999999995,201.18069648742676,121.14787101745605,322.3285675048828,867,327,158,48.318042813455655,25.949367088607595,41,26.297577854671278
2.5999999999999996,205.96051216125488,97.27263450622559,303.23314666748047,867,296,146,49.32432432432432,16.43835616438356,24,22.722029988465977
2.8,202.4843692779541,93.37425231933594,295.85862159729004,867,291,147,50.51546391752577,9.523809523809524,14,22.491349480968857
2.9999999999999996,200.46710968017578,86.78603172302246,287.25314140319824,867,268,131,48.88059701492538,0.0,0,19.261822376009228
3.1999999999999993,280.5042266845703,141.79658889770508,422.3008155822754,867,268,144,53.73134328358209,0.6944444444444444,1,19.83852364475202
3.3999999999999995,206.56991004943848,87.69083023071289,294.26074028015137,867,268,138,51.49253731343284,0.7246376811594203,1,18.45444059976932
3.5999999999999996,208.3430290222168,87.80813217163086,296.15116119384766,867,268,125,46.64179104477612,0.0,0,19.953863898500575
3.7999999999999994,200.12760162353516,91.4297103881836,291.55731201171875,867,268,136,50.74626865671642,0.0,0,18.685121107266436
3.999999999999999,190.88268280029297,88.0131721496582,278.8958549499512,867,268,132,49.25373134328358,0.0,0,19.146482122260668
